"","","","Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.","","2019-04-06"
"124","Don't Know What To Do","BLACKPINK","892241","https://open.spotify.com/track/1TaQciB8qqRZ9fxWGhS65X","2019-04-06"
"125","Dancin (feat. Luvli) - Krono Remix","Aaron Smith","882289","https://open.spotify.com/track/6WkJ2OK163XXS2oARUC9JM","2019-04-06"
"126","Psycho (feat. Ty Dolla $ign)","Post Malone","881364","https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C","2019-04-06"
"127","Hundred","Khalid","879464","https://open.spotify.com/track/0HEckRWFSknIupbGzavk5d","2019-04-06"
"128","God's Plan","Drake","877769","https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn","2019-04-06"
"129","Intro","Khalid","876104","https://open.spotify.com/track/5BfMJ6iytQnu1r7iiCYSXe","2019-04-06"
"130","Perfect","Ed Sheeran","868230","https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v","2019-04-06"
"131","One Kiss (with Dua Lipa)","Calvin Harris","861418","https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6","2019-04-06"
"132","I Like Me Better","Lauv","849548","https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ","2019-04-06"
"133","R.I.P. (feat. Rita Ora & Anitta)","Sofia Reyes","843960","https://open.spotify.com/track/6JqpFboOH2bq9pzaYbkKBn","2019-04-06"
"134","Paradise","Khalid","839813","https://open.spotify.com/track/6fOOKqQWcSy33ApU1wqkkW","2019-04-06"
"135","Envy Me","Calboy","838235","https://open.spotify.com/track/05t7JMip6JrLuSrMV5yYjX","2019-04-06"
"136","bellyache","Billie Eilish","837980","https://open.spotify.com/track/51NFxnQvaosfDDutk0tams","2019-04-06"
"137","no tears left to cry","Ariana Grande","835830","https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo","2019-04-06"
"138","Under Pressure - Remastered","Queen","829842","https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x","2019-04-06"
"139","Jocelyn Flores","XXXTENTACION","826796","https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96","2019-04-06"
"140","Bola Rebola","Tropkillaz","816987","https://open.spotify.com/track/1OUPXna2MCgAt3VNmXJBtg","2019-04-06"
"141","Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson","816609","https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF","2019-04-06"
"142","Thunder","Imagine Dragons","815715","https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB","2019-04-06"
"143","The Bones","Maren Morris","803811","https://open.spotify.com/track/3npzogdOEiVsieXmmhBepL","2019-04-06"
"144","Last Hurrah","Bebe Rexha","798700","https://open.spotify.com/track/0i0wnv9UoFdZ5MfuFGQzMy","2019-04-06"
"145","Love Someone","Lukas Graham","793919","https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r","2019-04-06"
"146","Reggaeton","J Balvin","793891","https://open.spotify.com/track/2D3z17LBMJ2HEHeBFFjTLi","2019-04-06"
"147","Twenty One","Khalid","792141","https://open.spotify.com/track/1NgCWYuBLfqBDA3b8MgSVU","2019-04-06"
"148","Deux frères","PNL","787868","https://open.spotify.com/track/6hzi3AGB39FjxFqcjgbWs7","2019-04-06"
"149","Too Good At Goodbyes","Sam Smith","779726","https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV","2019-04-06"
"150","Moonlight","Gaullin","772111","https://open.spotify.com/track/0A5gdlrpAuQqZ2iFgnqBFW","2019-04-06"
"151","In My Feelings","Drake","769691","https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ","2019-04-06"
"152","goodbye","Billie Eilish","765813","https://open.spotify.com/track/3LgWsmilsrWXiPYQFRD0T7","2019-04-06"
"153","Lost In Japan","Shawn Mendes","765733","https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV","2019-04-06"
"154","Natural","Imagine Dragons","761835","https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT","2019-04-06"
"155","Wow. - Remix","Post Malone","755894","https://open.spotify.com/track/0fcq51a3gOI6gPvzc0YLsk","2019-04-06"
"156","Havana (feat. Young Thug)","Camila Cabello","755644","https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W","2019-04-06"
"157","Don't Worry Bout Me","Zara Larsson","755328","https://open.spotify.com/track/507tQXutCPYNFkpOq8tmKF","2019-04-06"
"158","Beautiful (feat. Camila Cabello)","Bazzi","752157","https://open.spotify.com/track/4VUwkH455At9kENOfzTqmF","2019-04-06"
"159","Créeme","Karol G","751965","https://open.spotify.com/track/1mT47pKLXUwPYGwB91GcNz","2019-04-06"
"160","Shotgun","George Ezra","742782","https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC","2019-04-06"
"161","Leave Me Alone","Flipp Dinero","742428","https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g","2019-04-06"
"162","Autre monde","PNL","741844","https://open.spotify.com/track/2aG2nLUd8NNI7vFuOLBCe0","2019-04-06"
"163","ocean eyes","Billie Eilish","738933","https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU","2019-04-06"
"164","FRIENDS","Marshmello","730729","https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G","2019-04-06"
"165","Bubalu","Becky G","729949","https://open.spotify.com/track/7dNwJbsT0sg1le5kVugGJb","2019-04-06"
"166","IDGAF","Dua Lipa","729609","https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr","2019-04-06"
"167","Congratulations","Post Malone","729048","https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9","2019-04-06"
"168","The Middle","Zedd","723609","https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc","2019-04-06"
"169","Affalterbach","Shindy","719056","https://open.spotify.com/track/1L8LtC2s161XwY6YrtnQjw","2019-04-06"
"170","We Will Rock You - Remastered","Queen","717560","https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn","2019-04-06"
"171","Speechless (feat. Erika Sirola)","Robin Schulz","716370","https://open.spotify.com/track/1rCcsYnmqbMYdkG7kS9GC5","2019-04-06"
"172","Nonstop","Drake","716128","https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct","2019-04-06"
"173","Solo (feat. Demi Lovato)","Clean Bandit","714030","https://open.spotify.com/track/3NuK5xMlSlB6K2Qp16zf3h","2019-04-06"
"174","Chang","PNL","708354","https://open.spotify.com/track/5n9NAd0Y5OUeOGU0nVtLua","2019-04-06"
"175","Say You Won't Let Go","James Arthur","706479","https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh","2019-04-06"
"176","Freaky","Tory Lanez","705784","https://open.spotify.com/track/0NJp8GyCOWnQh71xKSPfuV","2019-04-06"
