,Artist,api_artist,api_url,artist_api_id,genres
451,The Clash,The Clash,https://open.spotify.com/artist/3RGLhK1IP9jnYFH4BRFJBS,3RGLhK1IP9jnYFH4BRFJBS,"['classic rock', 'dance rock', 'new wave', 'permanent wave', 'punk', 'rock']"
452,Eurythmics,Eurythmics,https://open.spotify.com/artist/0NKDgy9j66h3DLnN8qu1bB,0NKDgy9j66h3DLnN8qu1bB,"['dance pop', 'dance rock', 'disco', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'synthpop']"
453,Aretha Franklin,Aretha Franklin,https://open.spotify.com/artist/7nwUJBm0HE4ZxD3f5cy5ok,7nwUJBm0HE4ZxD3f5cy5ok,"['classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']"
454,The Beatles,The Beatles,https://open.spotify.com/artist/3WrFJ7ztbogyGnTHbHJFl2,3WrFJ7ztbogyGnTHbHJFl2,"['british invasion', 'merseybeat', 'psychedelic rock', 'rock']"
455,Toto,Toto,https://open.spotify.com/artist/0PFtn5NtBbbUNbU9EAmIWF,0PFtn5NtBbbUNbU9EAmIWF,"['album rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']"
456,Loren Allred,Loren Allred,https://open.spotify.com/artist/0LyOADBjj28cbvJWTXUEGA,0LyOADBjj28cbvJWTXUEGA,"['deep talent show', 'hollywood', 'movie tunes']"
457,Ziv Zaifman,,,,
458,Matt Terry,Matt Terry,https://open.spotify.com/artist/2JLqTvFXmC87BksiCsBezV,2JLqTvFXmC87BksiCsBezV,['talent show']
459,Lil Skies,Lil Skies,https://open.spotify.com/artist/7d3WFRME3vBY2cgoP38RDo,7d3WFRME3vBY2cgoP38RDo,"['rap', 'trap music']"
460,Michelle Williams,Michelle Williams,https://open.spotify.com/artist/6t7nbFAc2dUa7oNu7kBOui,6t7nbFAc2dUa7oNu7kBOui,"['gospel r&b', 'hip pop', 'r&b', 'urban contemporary']"
461,Austyn Johnson,,,,
462,Troye Sivan,Troye Sivan,https://open.spotify.com/artist/3WGpXCj9YhhfX11TToZcXP,3WGpXCj9YhhfX11TToZcXP,"['dance pop', 'pop', 'post-teen pop', 'r&b', 'viral pop']"
463,Jay Rock,Jay Rock,https://open.spotify.com/artist/28ExwzUQsvgJooOI0X1mr3,28ExwzUQsvgJooOI0X1mr3,"['conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']"
464,The Cranberries,The Cranberries,https://open.spotify.com/artist/7t0rwkOPGlDPEhaOcVtOt9,7t0rwkOPGlDPEhaOcVtOt9,"['irish rock', 'pop rock', 'rock']"
465,Lean Trap,,,,
466,Sfera Ebbasta,Sfera Ebbasta,https://open.spotify.com/artist/23TFHmajVfBtlRx5MXqgoz,23TFHmajVfBtlRx5MXqgoz,['italian hip hop']
467,Ramz,Ramz,https://open.spotify.com/artist/6ywXRaHY7m2DJ0dd7CsLAB,6ywXRaHY7m2DJ0dd7CsLAB,"['swedish gangsta rap', 'uk hip hop']"
468,Carnage,Carnage,https://open.spotify.com/artist/7CCjtD0hCK005Bvg2WG1a7,7CCjtD0hCK005Bvg2WG1a7,"['edm', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']"
469,Jojo Maronttinni,Jojo Maronttinni,https://open.spotify.com/artist/6bGwi8TG7T8Vcp415XooE5,6bGwi8TG7T8Vcp415XooE5,"['baile pop', 'funk carioca']"
470,Bazzi,Bazzi,https://open.spotify.com/artist/4GvEc3ANtPPjt1ZJllr5Zl,4GvEc3ANtPPjt1ZJllr5Zl,"['dance pop', 'pop', 'post-teen pop']"
471,Ghali,Ghali,https://open.spotify.com/artist/3egWSWp7Y4FyCKIyvXbw7L,3egWSWp7Y4FyCKIyvXbw7L,"['italian hip hop', 'milan indie', 'rap tunisien']"
472,Dj Kass,Dj Kass,https://open.spotify.com/artist/431Pb5EV8KsCBGTw96ZTQ4,431Pb5EV8KsCBGTw96ZTQ4,['chilean hardcore']
473,CHVRCHES,CHVRCHES,https://open.spotify.com/artist/3CjlHNtplJyTf9npxaPl5w,3CjlHNtplJyTf9npxaPl5w,"['electropop', 'indie poptimism', 'indietronica', 'metropopolis', 'modern rock', 'neo-synthpop', 'shimmer pop']"
